customer_id,customer_name,customer_email,customer_mobile,customer_city,customer_age,customer_credit_score
236,Customer 236,customer236@gmail.com,9100005853,Jaipur,25,685
237,Customer 237,customer237@gmail.com,9100006010,Bengaluru,26,686
238,Customer 238,customer238@gmail.com,9100006167,Chennai,27,687
239,Customer 239,customer239@gmail.com,9100006324,Hyderabad,28,688
240,Customer 240,customer240@gmail.com,9100006481,Kolkata,29,689
241,Customer 241,customer241@gmail.com,9100006638,Ahmedabad,30,690
242,Customer 242,customer242@gmail.com,9100006795,Surat,31,691
243,Customer 243,customer243@gmail.com,9100006952,Noida,32,692
244,Customer 244,customer244@gmail.com,9100007109,Gurgaon,33,693
245,Customer 245,customer245@gmail.com,9100007266,Indore,34,694
246,Customer 246,customer246@gmail.com,9100007423,Bhopal,35,695
247,Customer 247,customer247@gmail.com,9100007580,Nagpur,36,696
248,Customer 248,customer248@gmail.com,9100007737,Nashik,37,697
249,Customer 249,customer249@gmail.com,9100007894,Delhi,38,698
250,Customer 250,customer250@gmail.com,9100008051,Mumbai,39,699
251,Customer 251,customer251@gmail.com,9100008208,Pune,40,700
252,Customer 252,customer252@gmail.com,9100008365,Jaipur,41,701
253,Customer 253,customer253@gmail.com,9100008522,Bengaluru,42,702
254,Customer 254,customer254@gmail.com,9100008679,Chennai,43,703
255,Customer 255,customer255@gmail.com,9100008836,Hyderabad,44,704
256,Customer 256,customer256@gmail.com,9100008993,Kolkata,45,705
257,Customer 257,customer257@gmail.com,9100009150,Ahmedabad,46,706
258,Customer 258,customer258@gmail.com,9100009307,Surat,47,707
259,Customer 259,customer259@gmail.com,9100009464,Noida,48,708
260,Customer 260,customer260@gmail.com,9100009621,Gurgaon,49,709
261,Customer 261,customer261@gmail.com,9100009778,Indore,50,710
262,Customer 262,customer262@gmail.com,9100009935,Bhopal,51,711
263,Customer 263,customer263@gmail.com,9100010092,Nagpur,52,712
264,Customer 264,customer264@gmail.com,9100010249,Nashik,53,713
265,Customer 265,customer265@gmail.com,9100010406,Delhi,54,714
266,Customer 266,customer266@gmail.com,9100010563,Mumbai,55,715
267,Customer 267,customer267@gmail.com,9100010720,Pune,56,716
268,Customer 268,customer268@gmail.com,9100010877,Jaipur,57,717
269,Customer 269,customer269@gmail.com,9100011034,Bengaluru,58,718
270,Customer 270,customer270@gmail.com,9100011191,Chennai,59,719
271,Customer 271,customer271@gmail.com,9100011348,Hyderabad,25,720
272,Customer 272,customer272@gmail.com,9100011505,Kolkata,26,721
273,Customer 273,customer273@gmail.com,9100011662,Ahmedabad,27,722
274,Customer 274,customer274@gmail.com,9100011819,Surat,28,723
275,Customer 275,customer275@gmail.com,9100011976,Noida,29,724
276,Customer 276,customer276@gmail.com,9100012133,Gurgaon,30,725
277,Customer 277,customer277@gmail.com,9100012290,Indore,31,726
278,Customer 278,customer278@gmail.com,9100012447,Bhopal,32,727
279,Customer 279,customer279@gmail.com,9100012604,Nagpur,33,728
280,Customer 280,customer280@gmail.com,9100012761,Nashik,34,729
281,Customer 281,customer281@gmail.com,9100012918,Delhi,35,730
282,Customer 282,customer282@gmail.com,9100013075,Mumbai,36,731
283,Customer 283,customer283@gmail.com,9100013232,Pune,37,732
284,Customer 284,customer284@gmail.com,9100013389,Jaipur,38,733
285,Customer 285,customer285@gmail.com,9100013546,Bengaluru,39,734
286,Customer 286,customer286@gmail.com,9100013703,Chennai,40,735
287,Customer 287,customer287@gmail.com,9100013860,Hyderabad,41,736
288,Customer 288,customer288@gmail.com,9100014017,Kolkata,42,737
289,Customer 289,customer289@gmail.com,9100014174,Ahmedabad,43,738
290,Customer 290,customer290@gmail.com,9100014331,Surat,44,739
291,Customer 291,customer291@gmail.com,9100014488,Noida,45,740
292,Customer 292,customer292@gmail.com,9100014645,Gurgaon,46,741
293,Customer 293,customer293@gmail.com,9100014802,Indore,47,742
294,Customer 294,customer294@gmail.com,9100014959,Bhopal,48,743
295,Customer 295,customer295@gmail.com,9100015116,Nagpur,49,744
296,Customer 296,customer296@gmail.com,9100015273,Nashik,50,745
297,Customer 297,customer297@gmail.com,9100015430,Delhi,51,746
298,Customer 298,customer298@gmail.com,9100015587,Mumbai,52,747
299,Customer 299,customer299@gmail.com,9100015744,Pune,53,748
300,Customer 300,customer300@gmail.com,9100015901,Jaipur,54,749
301,Customer 301,customer301@gmail.com,9100016058,Bengaluru,55,750
302,Customer 302,customer302@gmail.com,9100016215,Chennai,56,751
303,Customer 303,customer303@gmail.com,9100016372,Hyderabad,57,752
304,Customer 304,customer304@gmail.com,9100016529,Kolkata,58,753
305,Customer 305,customer305@gmail.com,9100016686,Ahmedabad,59,754
306,Customer 306,customer306@gmail.com,9100016843,Surat,25,755
307,Customer 307,customer307@gmail.com,9100017000,Noida,26,756
308,Customer 308,customer308@gmail.com,9100017157,Gurgaon,27,757
309,Customer 309,customer309@gmail.com,9100017314,Indore,28,758
310,Customer 310,customer310@gmail.com,9100017471,Bhopal,29,759
311,Customer 311,customer311@gmail.com,9100017628,Nagpur,30,760
312,Customer 312,customer312@gmail.com,9100017785,Nashik,31,761
313,Customer 313,customer313@gmail.com,9100017942,Delhi,32,762
314,Customer 314,customer314@gmail.com,9100018099,Mumbai,33,763
315,Customer 315,customer315@gmail.com,9100018256,Pune,34,764
316,Customer 316,customer316@gmail.com,9100018413,Jaipur,35,765
317,Customer 317,customer317@gmail.com,9100018570,Bengaluru,36,766
318,Customer 318,customer318@gmail.com,9100018727,Chennai,37,767
319,Customer 319,customer319@gmail.com,9100018884,Hyderabad,38,768
320,Customer 320,customer320@gmail.com,9100019041,Kolkata,39,769
321,Customer 321,customer321@gmail.com,9100019198,Ahmedabad,40,650
322,Customer 322,customer322@gmail.com,9100019355,Surat,41,651
323,Customer 323,customer323@gmail.com,9100019512,Noida,42,652
324,Customer 324,customer324@gmail.com,9100019669,Gurgaon,43,653
325,Customer 325,customer325@gmail.com,9100019826,Indore,44,654
326,Customer 326,customer326@gmail.com,9100019983,Bhopal,45,655
327,Customer 327,customer327@gmail.com,9100020140,Nagpur,46,656
328,Customer 328,customer328@gmail.com,9100020297,Nashik,47,657
329,Customer 329,customer329@gmail.com,9100020454,Delhi,48,658
330,Customer 330,customer330@gmail.com,9100020611,Mumbai,49,659
331,Customer 331,customer331@gmail.com,9100020768,Pune,50,660
332,Customer 332,customer332@gmail.com,9100020925,Jaipur,51,661
333,Customer 333,customer333@gmail.com,9100021082,Bengaluru,52,662
334,Customer 334,customer334@gmail.com,9100021239,Chennai,53,663
335,Customer 335,customer335@gmail.com,9100021396,Hyderabad,54,664
336,Customer 336,customer336@gmail.com,9100021553,Kolkata,55,665
337,Customer 337,customer337@gmail.com,9100021710,Ahmedabad,56,666
338,Customer 338,customer338@gmail.com,9100021867,Surat,57,667
339,Customer 339,customer339@gmail.com,9100022024,Noida,58,668
340,Customer 340,customer340@gmail.com,9100022181,Gurgaon,59,669
341,Customer 341,customer341@gmail.com,9100022338,Indore,25,670
342,Customer 342,customer342@gmail.com,9100022495,Bhopal,26,671
343,Customer 343,customer343@gmail.com,9100022652,Nagpur,27,672
344,Customer 344,customer344@gmail.com,9100022809,Nashik,28,673
345,Customer 345,customer345@gmail.com,9100022966,Delhi,29,674
346,Customer 346,customer346@gmail.com,9100023123,Mumbai,30,675
347,Customer 347,customer347@gmail.com,9100023280,Pune,31,676
348,Customer 348,customer348@gmail.com,9100023437,Jaipur,32,677
349,Customer 349,customer349@gmail.com,9100023594,Bengaluru,33,678
350,Customer 350,customer350@gmail.com,9100023751,Chennai,34,679
